央视,#genre# 

CCTV13,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000204603.m3u8
CCTV1,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000210103.m3u8
CCTV2,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000203603.m3u8
CCTV4,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000204803.m3u8
CCTV9,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000499403.m3u8
CCTV5,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000205103.m3u8
CCTV6,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000203303.m3u8
CCTV15,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000205003.m3u8
CCTV17,http://121.51.249.103/tlivecloud-ipv6.ysp.cctv.cn/001/2000204203.m3u8

CCTV13,http://124.232.233.6:6060/000000001901/202200010023/index.m3u8?m3u8_level=2
CCTV1,http://124.232.233.6:6060/000000001901/202200010002/index.m3u8?m3u8_level=2
CCTV2,http://124.232.233.6:6060/000000001901/202200010005/index.m3u8?m3u8_level=2
CCTV4,http://124.232.233.6:6060/000000001901/202200010009/index.m3u8?m3u8_level=2
CCTV3,http://124.232.233.6:6060/000000001901/202200010007/index.m3u8?m3u8_level=2
CCTV5,http://124.232.233.6:6060/000000001901/202200010010/index.m3u8?m3u8_level=2
CCTV9,http://124.232.233.6:6060/000000001901/202200010019/index.m3u8?m3u8_level=2
CCTV8,http://124.232.233.6:6060/000000001901/202200010017/index.m3u8?m3u8_level=2
CCTV10,http://124.232.233.6:6060/000000001901/202200010020/index.m3u8?m3u8_level=2
CCTV11,http://124.232.233.6:6060/000000001901/202200010021/index.m3u8?m3u8_level=2
CCTV12,http://124.232.233.6:6060/000000001901/202200010022/index.m3u8?m3u8_level=2
CCTV14,http://124.232.233.6:6060/000000001901/202200010024/index.m3u8?m3u8_level=2
CCTV15,http://124.232.233.6:6060/000000001901/202200010025/index.m3u8?m3u8_level=2
CCTV16,http://124.232.233.6:6060/000000001901/202200010026/index.m3u8?m3u8_level=2
CCTV17,http://124.232.233.6:6060/000000001901/202200010027/index.m3u8?m3u8_level=2
4KUHD,http://124.232.233.6:6060/000000001901/202200010028/index.m3u8?m3u8_level=2

CCTV1,http://183.196.25.171:808/hls/1/index.m3u8
CCTV2,http://183.196.25.171:808/hls/2/index.m3u8
CCTV3,http://183.196.25.171:808/hls/75/index.m3u8
CCTV4,http://183.196.25.171:808/hls/4/index.m3u8
CCTV5,http://183.196.25.171:808/hls/78/index.m3u8
CCTV6,http://183.196.25.171:808/hls/76/index.m3u8
CCTV5+,http://183.196.25.171:808/hls/61/index.m3u8
CCTV7,http://183.196.25.171:808/hls/7/index.m3u8
CCTV8,http://183.196.25.171:808/hls/77/index.m3u8
CCTV9,http://183.196.25.171:808/hls/9/index.m3u8
CCTV10,http://183.196.25.171:808/hls/10/index.m3u8
CCTV11,http://183.196.25.171:808/hls/11/index.m3u8
CCTV12,http://183.196.25.171:808/hls/12/index.m3u8
CCTV13,http://183.196.25.171:808/hls/13/index.m3u8
CCTV14,http://183.196.25.171:808/hls/14/index.m3u8
CCTV15,http://183.196.25.171:808/hls/15/index.m3u8
CCTV17,http://183.196.25.171:808/hls/93/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV4K,http://111.31.26.166/tlivecloud-ipv6.ysp.cctv.cn/001/2000266303.m3u8
CCTV4K,http://cfss.cc/ds/bst.php?id=Cf-0


CCTV1,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv1_2/index.m3u8
CCTV2,http://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv2_2/index.m3u8
CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8


CCTV5,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv5_2/index.m3u8
CCTV5,http://cctv5wbndali.v.myalicdn.com/cctv5wbnd/cctv5_2/index.m3u8

CCTV1,http://jiexi.bulisite.top/bestv.php?id=cctv1hd8m/8000000
CCTV2,http://jiexi.bulisite.top/bestv.php?id=cctv2hd8m/8000000
CCTV4,http://jiexi.bulisite.top/ysp.php?id=cctv4
CCTV5,http://jiexi.bulisite.top/bestv.php?id=cctv58m/8000000
